date	borough	n
683	2015-04-08	Manhattan	54948
684	2015-04-08	Queens	5838
685	2015-04-08	Staten Island	27
686	2015-04-08	Unknown	24
687	2015-04-09	Bronx	1026
688	2015-04-09	Brooklyn	10462
689	2015-04-09	EWR	1
690	2015-04-09	Manhattan	59232
691	2015-04-09	Queens	6733
692	2015-04-09	Staten Island	39
693	2015-04-09	Unknown	27
694	2015-04-10	Bronx	1268
695	2015-04-10	Brooklyn	12261
696	2015-04-10	EWR	0
697	2015-04-10	Manhattan	60512
698	2015-04-10	Queens	7342
699	2015-04-10	Staten Island	29
700	2015-04-10	Unknown	27
701	2015-04-11	Bronx	1548
702	2015-04-11	Brooklyn	17338
703	2015-04-11	EWR	0
704	2015-04-11	Manhattan	56136
705	2015-04-11	Queens	7428
706	2015-04-11	Staten Island	50
707	2015-04-11	Unknown	47
708	2015-04-12	Bronx	1232
709	2015-04-12	Brooklyn	15365
710	2015-04-12	EWR	1
711	2015-04-12	Manhattan	42529
712	2015-04-12	Queens	8519
713	2015-04-12	Staten Island	49
714	2015-04-12	Unknown	31
715	2015-04-13	Bronx	902
716	2015-04-13	Brooklyn	8940
717	2015-04-13	EWR	1
718	2015-04-13	Manhattan	38862
719	2015-04-13	Queens	7896
720	2015-04-13	Staten Island	24
721	2015-04-13	Unknown	30
722	2015-04-14	Bronx	807
723	2015-04-14	Brooklyn	9224
724	2015-04-14	EWR	0
725	2015-04-14	Manhattan	46827
726	2015-04-14	Queens	6480
727	2015-04-14	Staten Island	31
728	2015-04-14	Unknown	24
729	2015-04-15	Bronx	961
730	2015-04-15	Brooklyn	10273
731	2015-04-15	EWR	0
732	2015-04-15	Manhattan	48908
733	2015-04-15	Queens	6324
734	2015-04-15	Staten Island	37
735	2015-04-15	Unknown	31
736	2015-04-16	Bronx	1149
737	2015-04-16	Brooklyn	11220
738	2015-04-16	EWR	1
739	2015-04-16	Manhattan	58996
740	2015-04-16	Queens	7381
741	2015-04-16	Staten Island	31
742	2015-04-16	Unknown	30
743	2015-04-17	Bronx	1252
744	2015-04-17	Brooklyn	13145
745	2015-04-17	EWR	0
746	2015-04-17	Manhattan	61338
747	2015-04-17	Queens	8048
748	2015-04-17	Staten Island	25
749	2015-04-17	Unknown	47
750	2015-04-18	Bronx	1468
751	2015-04-18	Brooklyn	20605
752	2015-04-18	EWR	0
753	2015-04-18	Manhattan	64281
754	2015-04-18	Queens	7749
755	2015-04-18	Staten Island	51
756	2015-04-18	Unknown	42
757	2015-04-19	Bronx	1263
758	2015-04-19	Brooklyn	17348
759	2015-04-19	EWR	0
760	2015-04-19	Manhattan	50674
761	2015-04-19	Queens	8759
762	2015-04-19	Staten Island	33
763	2015-04-19	Unknown	30
764	2015-04-20	Bronx	999
765	2015-04-20	Brooklyn	11153
766	2015-04-20	EWR	0
767	2015-04-20	Manhattan	58518
768	2015-04-20	Queens	7350
769	2015-04-20	Staten Island	21
770	2015-04-20	Unknown	35
771	2015-04-21	Bronx	947
772	2015-04-21	Brooklyn	9664
773	2015-04-21	EWR	0
774	2015-04-21	Manhattan	50657
775	2015-04-21	Queens	7389
776	2015-04-21	Staten Island	31
777	2015-04-21	Unknown	24
778	2015-04-22	Bronx	1113
779	2015-04-22	Brooklyn	10878
780	2015-04-22	EWR	2
781	2015-04-22	Manhattan	63585
782	2015-04-22	Queens	6479
783	2015-04-22	Staten Island	40
784	2015-04-22	Unknown	27
785	2015-04-23	Bronx	1150
786	2015-04-23	Brooklyn	12248
787	2015-04-23	EWR	1
788	2015-04-23	Manhattan	71132
789	2015-04-23	Queens	7506
790	2015-04-23	Staten Island	44
791	2015-04-23	Unknown	29
792	2015-04-24	Bronx	1542
793	2015-04-24	Brooklyn	14595
794	2015-04-24	EWR	0
795	2015-04-24	Manhattan	75287
796	2015-04-24	Queens	8170
797	2015-04-24	Staten Island	44
798	2015-04-24	Unknown	50
799	2015-04-25	Bronx	1654
800	2015-04-25	Brooklyn	21791
801	2015-04-25	EWR	0
802	2015-04-25	Manhattan	74448
803	2015-04-25	Queens	8277
804	2015-04-25	Staten Island	66
805	2015-04-25	Unknown	34
806	2015-04-26	Bronx	1390
807	2015-04-26	Brooklyn	17631
808	2015-04-26	EWR	0
809	2015-04-26	Manhattan	60323
810	2015-04-26	Queens	9243
811	2015-04-26	Staten Island	43
812	2015-04-26	Unknown	43
813	2015-04-27	Bronx	1164
814	2015-04-27	Brooklyn	10088
815	2015-04-27	EWR	0
816	2015-04-27	Manhattan	46015
817	2015-04-27	Queens	7451
818	2015-04-27	Staten Island	29
819	2015-04-27	Unknown	36
820	2015-04-28	Bronx	1266
821	2015-04-28	Brooklyn	10115
822	2015-04-28	EWR	0
823	2015-04-28	Manhattan	51016
824	2015-04-28	Queens	6417
825	2015-04-28	Staten Island	27
826	2015-04-28	Unknown	22
827	2015-04-29	Bronx	1268
